SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,252 County House Rd,Cottontown,TN,37048,950000,3,3.0,Fox Acres,3196,101059,2006,5,297,,Active,March-16-2024 12:00 PM,March-16-2024 02:00 PM,https://www.redfin.com/TN/Cottontown/252-County-House-Rd-37048/home/92227686,REALTRACS as Distributed by MLS Grid,2624531,N,Y,36.4607044,-86.5431049
MLS Listing,,Single Family Residential,607 Wassil Dr,Gallatin,TN,37066,660000,5,4.5,Meadow Glen At Fairway Farms Sec 2,3208,9583,2020,60,206,,Active,,,https://www.redfin.com/TN/Gallatin/607-Wassil-Dr-37066/home/170541931,REALTRACS as Distributed by MLS Grid,2609460,N,Y,36.3977242,-86.4851035
MLS Listing,,Single Family Residential,100 Valley Dr,Hendersonville,TN,37075,459700,3,1.5,Creekwood Sec 3B,1862,20037,1979,1,247,,Active,,,https://www.redfin.com/TN/Hendersonville/100-Valley-Dr-37075/home/92252302,REALTRACS as Distributed by MLS Grid,2629097,N,Y,36.3341932,-86.6049786
MLS Listing,,Single Family Residential,308 Brinkley Ln,White House,TN,37188,625000,3,2.0,White House,1997,204732,1978,1,313,,Active,,,https://www.redfin.com/TN/White-House/308-Brinkley-Ln-37188/home/92239237,REALTRACS as Distributed by MLS Grid,2621904,N,Y,36.4724358,-86.6431404
MLS Listing,,Single Family Residential,110 Grapevine Rd,Hendersonville,TN,37075,,3,1.5,Colonial Acres Sec 7,1538,14810,1978,1,,,Active,,,https://www.redfin.com/TN/Hendersonville/110-Grapevine-Rd-37075/home/92252874,REALTRACS as Distributed by MLS Grid,2628880,N,Y,36.3262281,-86.604427
MLS Listing,,Single Family Residential,1015 Kellyn Ln,Hendersonville,TN,37075,619900,4,3.5,Victoria Place Ph 1,3000,20037,2003,4,207,,Active,,,https://www.redfin.com/TN/Hendersonville/1015-Kellyn-Ln-37075/home/60777940,REALTRACS as Distributed by MLS Grid,2623930,N,Y,36.3719029,-86.631309
MLS Listing,,Single Family Residential,638 Wade Cir,Goodlettsville,TN,37072,325000,3,1.5,Terra View,1178,12632,1948,4,276,,Active,,,https://www.redfin.com/TN/Goodlettsville/638-Wade-Cir-37072/home/108019883,REALTRACS as Distributed by MLS Grid,2628119,N,Y,36.3070747,-86.7000721
MLS Listing,,Single Family Residential,300 Upper Station Camp Creek Rd,Gallatin,TN,37066,499500,3,2.5,Creekbank,1979,86248,1976,4,252,,Active,,,https://www.redfin.com/TN/Gallatin/300-Upper-Station-Camp-Crk-Rd-37066/home/92244684,REALTRACS as Distributed by MLS Grid,2627822,N,Y,36.391789,-86.560084
MLS Listing,,Single Family Residential,226 Lake Terrace Dr,Hendersonville,TN,37075,2999900,4,4.5,Cherokee Woods Sec 7,5562,38768,1964,4,539,,Active,,,https://www.redfin.com/TN/Hendersonville/226-Lake-Terrace-Dr-37075/home/87517234,REALTRACS as Distributed by MLS Grid,2627784,N,Y,36.2721467,-86.5936405
